Date Range,Week Day,Time/Shift Hours,Restaurant,Offer or Time,Base Pay,Peak Pay,Tip Amount,Delivery Total
Feb 3-9,Monday,"11am, 12pm",Neigborhood Ice Cream,Per Offer,$7.00,$0.00,$3.00,$10.00
Feb 3-9,Monday,"11am, 12pm",CFA,Per Offer,$4.25,$0.00,$3.00,$7.25
Feb 3-9,Monday,1pm,CFA,Per Offer,$5.50,$0.00,$1.00,$6.50
Feb 3-9,Monday,1pm,Super Wok,Per Offer,$5.75,$0.00,$0.00,$5.75
Feb 3-9,Tuesday,"1pm, 2pm, 3pm",Ginza,Per Offer,$2.00,$0.00,$4.00,$6.00
Feb 3-9,Tuesday,"1pm, 2pm, 3pm",Royal Rasoi,Per Offer,$3.00,$0.00,$3.00,$6.00
Feb 3-9,Tuesday,"1pm, 2pm, 3pm",CFA,Per Offer,$2.00,$0.00,$5.50,$7.50
Feb 3-9,Tuesday,"1pm, 2pm, 3pm",Starbucks,Per Offer,$3.50,$0.00,$2.00,$5.50
Feb 3-9,Thursday,"12pm, 1pm, 2pm, 3pm",Ginza,Per Offer,$6.00,$0.00,$0.00,$6.00
Feb 3-9,Thursday,"12pm, 1pm, 2pm, 3pm",Tijuana Flats,Per Offer,$2.00,$0.00,$8.00,$10.00
Feb 3-9,Thursday,"12pm, 1pm, 2pm, 3pm",Applebees,Per Offer,$2.00,$0.00,$5.00,$7.00
Feb 3-9,Thursday,"12pm, 1pm, 2pm, 3pm",Kingdom Acai,Per Offer,$2.00,$0.00,$2.00,$4.00
Feb 3-9,Thursday,"12pm, 1pm, 2pm, 3pm",Pizza Hut,Per Offer,$5.50,$0.00,$5.00,$10.50
Feb 3-9,Thursday,"12pm, 1pm, 2pm, 3pm",Panera,Per Offer,$2.00,$0.00,$5.00,$7.00
Feb 3-9,Thursday,"12pm, 1pm, 2pm, 3pm",Jersey Mikes,Per Offer,$2.00,$0.00,$3.00,$5.00
Feb 3-9,Friday,"8am, 9am, 10am",Arbys,By Time,$6.62,$0.00,$5.50,$12.12
Feb 3-9,Friday,"8am, 9am, 10am",CFA,By Time,$4.44,$0.00,$3.00,$7.44
Feb 3-9,Friday,"8am, 9am, 10am",Peach Valley Cafe,By Time,$7.84,$0.00,$0.00,$7.84
Feb 3-9,Friday,"11am, 12pm",Dahlia,Per Offer,$5.75,$0.00,$14.00,$19.75
Feb 3-9,Friday,"11am, 12pm",Panera,Per Offer,$8.00,$0.00,$1.00,$9.00
Feb 3-9,Friday,4pm,KFC,Per Offer,$4.50,$0.00,$3.00,$7.50
Feb 3-9,Saturday,"12pm, 1pm, 2pm",McDonalds,Per Offer,$2.00,$0.00,$0.00,$2.00
Feb 3-9,Saturday,"12pm, 1pm, 2pm",Popeyes,Per Offer,$4.00,$0.00,$0.00,$4.00
Feb 3-9,Saturday,"12pm, 1pm, 2pm",Joy Luck Cafe,Per Offer,$2.00,$0.00,$3.17,$5.17
Feb 3-9,Saturday,"12pm, 1pm, 2pm",Millers Ale House,Per Offer,$2.00,$0.00,$10.00,$12.00
Feb 3-9,Saturday,"12pm, 1pm, 2pm",Jersey Mikes,Per Offer,$2.00,$0.00,$5.50,$7.50
Feb 3-9,Saturday,"12pm, 1pm, 2pm",Tasty Chickn,Per Offer,$3.25,$0.00,$0.00,$3.25
Feb 3-9,Saturday,"12pm, 1pm, 2pm",KFC,Per Offer,$3.25,$0.00,$0.00,$3.25
Feb 3-9,Saturday,"3pm, 4pm",Marcos Pizza,Per Offer,$6.00,$0.00,$5.00,$11.00
Feb 3-9,Sunday,5pm,Pizza Hut,Per Offer,$4.00,$0.00,$0.00,$4.00
Feb 10-16,Monday,"9am, 10am",Starbucks,By Time,$4.96,$0.00,$3.00,$7.96
Feb 10-16,Monday,"9am, 10am",Sonic,By Time,$2.26,$0.00,$4.00,$6.26
Feb 10-16,Monday,"9am, 10am",McDonalds,By Time,$6.28,$0.00,$1.00,$7.28
Feb 10-16,Monday,"9am, 10am",Sonic,By Time,$3.38,$0.00,$0.00,$3.38
Feb 10-16,Monday,"9am, 10am",Sonic,By Time,$3.39,$0.00,$0.00,$3.39
Feb 10-16,Monday,"11am, 12pm",CFA,Per Offer,$4.25,$0.00,$7.00,$11.25
Feb 10-16,Monday,"11am, 12pm",KFC,Per Offer,$2.00,$0.00,$2.50,$4.50
Feb 10-16,Monday,"11am, 12pm",Panera,Per Offer,$2.00,$0.00,$3.00,$5.00
Feb 10-16,Friday,"11am, 12pm",Panera,Per Offer,$2.50,$0.00,$5.00,$7.50
Feb 10-16,Friday,"11am, 12pm",Panda Express,Per Offer,$2.38,$0.00,$2.08,$4.46
Feb 10-16,Friday,"11am, 12pm",Panda Express,Per Offer,$2.37,$0.00,$5.00,$7.37
Feb 10-16,Friday,"11am, 12pm",Burger King,Per Offer,$2.00,$0.00,$20.00,$22.00
Feb 10-16,Friday,"11am, 12pm",CFA,Per Offer,$3.75,$0.00,$1.00,$4.75
Feb 10-16,Friday,"3pm, 4pm",CFA,Per Offer,$2.25,$2.00,$13.00,$17.25
Feb 10-16,Saturday,"11am, 12pm",Wawa,Per Offer,$2.00,$0.00,$1.00,$3.00
Feb 10-16,Saturday,"11am, 12pm",Pizza Hut,Per Offer,$2.00,$0.00,$0.00,$2.00
Feb 10-16,Saturday,"12pm, 1pm, 2pm, 3pm",Red Bowl,By Time,$3.66,$0.00,$0.00,$3.66
Feb 10-16,Saturday,"12pm, 1pm, 2pm, 3pm",Chipotle,By Time,$3.89,$0.00,$0.00,$3.89
Feb 10-16,Saturday,"12pm, 1pm, 2pm, 3pm",Culvers,By Time,$4.43,$0.00,$5.00,$9.43
Feb 10-16,Saturday,"12pm, 1pm, 2pm, 3pm",Chicken Salad Chick,By Time,$3.10,$0.00,$4.00,$7.10
Feb 10-16,Saturday,"12pm, 1pm, 2pm, 3pm",Applebees,By Time,$4.88,$0.00,$5.00,$9.88
Feb 10-16,Saturday,"12pm, 1pm, 2pm, 3pm",Red Robin,By Time,$7.21,$0.00,$0.00,$7.21
Feb 17-23,Monday,"10am, 11am, 12pm, 1pm, 2pm",Ginza,By Time,$4.50,$0.00,$6.50,$11.00
Feb 17-23,Monday,"10am, 11am, 12pm, 1pm, 2pm",Tropical Smoothie,By Time,$4.03,$0.00,$5.50,$9.53
Feb 17-23,Monday,"10am, 11am, 12pm, 1pm, 2pm",McDonalds,By Time,$2.86,$0.00,$1.00,$3.86
Feb 17-23,Monday,"10am, 11am, 12pm, 1pm, 2pm",KFC,By Time,$6.65,$0.00,$2.00,$8.65
Feb 17-23,Monday,"10am, 11am, 12pm, 1pm, 2pm",Popeyes,By Time,$7.16,$0.00,$4.00,$11.16
Feb 17-23,Monday,"10am, 11am, 12pm, 1pm, 2pm",NAPA,By Time,$4.61,$0.00,$0.00,$4.61
Feb 17-23,Monday,"10am, 11am, 12pm, 1pm, 2pm",First Watch,By Time,$5.00,$0.00,$2.00,$7.00
Feb 17-23,Monday,"10am, 11am, 12pm, 1pm, 2pm",Papa Johns,By Time,$7.52,$0.00,$4.50,$12.02
Feb 17-23,Monday,"10am, 11am, 12pm, 1pm, 2pm",Papa Johns,By Time,$4.67,$0.00,$0.00,$4.67
Feb 17-23,Thursday,"12pm, 1pm, 2pm, 3pm",Pizza Hut,By Time,$4.76,$0.00,$1.00,$5.76
Feb 17-23,Thursday,"12pm, 1pm, 2pm, 3pm",Chipotle,By Time,$5.33,$0.00,$0.00,$5.33
Feb 17-23,Thursday,"12pm, 1pm, 2pm, 3pm",Super Wok,By Time,$5.98,$0.00,$2.00,$7.98
Feb 17-23,Thursday,"12pm, 1pm, 2pm, 3pm",Bob Evans,By Time,$7.12,$0.00,$2.00,$9.12
Feb 17-23,Thursday,"12pm, 1pm, 2pm, 3pm",Chilis,By Time,$4.68,$0.00,$8.00,$12.68
Feb 17-23,Thursday,"12pm, 1pm, 2pm, 3pm",Royal Rasoi,By Time,$5.94,$0.00,$2.50,$8.44
Feb 17-23,Thursday,"12pm, 1pm, 2pm, 3pm",Royal Rasoi,By Time,$5.93,$0.00,$2.00,$7.93
Feb 17-23,Friday,"11am, 12pm, 1pm, 2pm",Applebees,By Time,$7.42,$0.00,$0.00,$7.42
Feb 17-23,Friday,"11am, 12pm, 1pm, 2pm",Applebees,By Time,$5.53,$0.00,$8.00,$13.53
Feb 17-23,Friday,"11am, 12pm, 1pm, 2pm",Taco Bell,By Time,$3.32,$0.00,$2.00,$5.32
Feb 17-23,Friday,"11am, 12pm, 1pm, 2pm",McDonalds,By Time,$3.51,$0.00,$3.00,$6.51
Feb 17-23,Friday,"11am, 12pm, 1pm, 2pm",Super Wok,By Time,$6.38,$0.00,$12.50,$18.88
Feb 17-23,Friday,"11am, 12pm, 1pm, 2pm",CFA,By Time,$8.37,$0.00,$4.00,$12.37
Feb 17-23,Saturday,"11am, 12pm, 1pm, 2pm",McDonalds,By Time,$5.68,$0.00,$4.50,$10.18
Feb 17-23,Saturday,"11am, 12pm, 1pm, 2pm",Another Broken Egg,By Time,$12.69,$0.00,$2.00,$14.69
Feb 17-23,Saturday,"11am, 12pm, 1pm, 2pm",KFC,By Time,$5.17,$0.00,$2.00,$7.17
Feb 17-23,Saturday,"11am, 12pm, 1pm, 2pm",McDonalds,By Time,$3.84,$0.00,$2.00,$5.84
Feb 17-23,Sunday,11am,Dustins BBQ,By Time,$3.71,$0.00,$10.00,$13.71
Feb 24-Mar 2,Monday,"9am, 10am, 11am, 12pm",Another Broken Egg,By Time,$5.76,$0.00,$4.00,$9.76
Feb 24-Mar 2,Monday,"9am, 10am, 11am, 12pm",First Watch,By Time,$3.94,$0.00,$7.00,$10.94
Feb 24-Mar 2,Monday,"9am, 10am, 11am, 12pm",McDonalds,By Time,$2.95,$0.00,$1.00,$3.95
Feb 24-Mar 2,Monday,"9am, 10am, 11am, 12pm",Filo,By Time,$6.95,$0.00,$3.00,$9.95
Feb 24-Mar 2,Monday,"9am, 10am, 11am, 12pm",Papa Johns,By Time,$5.07,$0.00,$5.50,$10.57
Feb 24-Mar 2,Monday,"9am, 10am, 11am, 12pm",Unknown,By Time,$3.33,$0.00,$2.00,$5.33
Feb 24-Mar 2,Monday,"9am, 10am, 11am, 12pm",First Watch,By Time,$6.30,$0.00,$13.00,$19.30
Feb 24-Mar 2,Thursday,7am,CFA,By Time,$6.21,$0.00,$3.50,$9.71
Feb 24-Mar 2,Saturday,"11am, 12pm, 1pm, 2pm, 3pm",AA Garden Fusion,By Time,$9.22,$0.00,$5.00,$14.22
Feb 24-Mar 2,Saturday,"11am, 12pm, 1pm, 2pm, 3pm",Pizza Hut,By Time,$6.22,$0.00,$2.00,$8.22
Feb 24-Mar 2,Saturday,"11am, 12pm, 1pm, 2pm, 3pm",Panera,By Time,$6.37,$0.00,$5.50,$11.87
Feb 24-Mar 2,Saturday,"11am, 12pm, 1pm, 2pm, 3pm",CFA,By Time,$5.44,$0.00,$9.50,$14.94
Feb 24-Mar 2,Saturday,"11am, 12pm, 1pm, 2pm, 3pm",Panera,By Time,$7.31,$0.00,$3.50,$10.81
Feb 24-Mar 2,Saturday,"11am, 12pm, 1pm, 2pm, 3pm",China Star,By Time,$10.77,$0.00,$10.00,$20.77
Feb 24-Mar 2,Saturday,"11am, 12pm, 1pm, 2pm, 3pm",China Star,By Time,$4.78,$0.00,$5.00,$9.78
Feb 24-Mar 2,Saturday,"11am, 12pm, 1pm, 2pm, 3pm",Tijuana Flats,By Time,$3.98,$0.00,$5.00,$8.98
Feb 24-Mar 2,Saturday,"11am, 12pm, 1pm, 2pm, 3pm",McDonalds,By Time,$2.55,$0.00,$0.00,$2.55
Mar 3-9,Monday,"9am, 10am, 11am, 12pm",Chipotle,By Time,$3.44,$0.00,$3.50,$6.94
Mar 3-9,Monday,"9am, 10am, 11am, 12pm",Papa Johns,By Time,$6.10,$0.00,$4.29,$10.39
Mar 3-9,Monday,"9am, 10am, 11am, 12pm",McDonalds,By Time,$3.02,$0.00,$1.05,$4.07
Mar 3-9,Monday,"9am, 10am, 11am, 12pm",CFA,By Time,$6.10,$0.00,$2.50,$8.60
Mar 3-9,Monday,"9am, 10am, 11am, 12pm",Peach Valley Cafe,By Time,$5.06,$0.00,$3.00,$8.06
Mar 3-9,Monday,"9am, 10am, 11am, 12pm",Jojos Taste of Chi,By Time,$5.34,$0.00,$7.00,$12.34
Mar 3-9,Monday,"9am, 10am, 11am, 12pm",McDonalds,By Time,$4.58,$0.00,$0.00,$4.58
Mar 3-9,Wednesday,"2pm, 3pm",CFA,By Time,$5.33,$0.00,$1.00,$6.33
Mar 3-9,Wednesday,"2pm, 3pm",Panera,By Time,$4.39,$0.00,$2.00,$6.39
Mar 3-9,Wednesday,"2pm, 3pm",Pizza Hut,By Time,$4.38,$0.00,$1.00,$5.38
Mar 3-9,Wednesday,"2pm, 3pm",Del Taco,By Time,$2.98,$0.00,$1.91,$4.89
Mar 3-9,Wednesday,"2pm, 3pm",Del Taco,By Time,$2.99,$0.00,$2.00,$4.99
Mar 3-9,Thursday,"3pm, 4pm",CFA,By Time,$5.61,$0.00,$1.00,$6.61
Mar 3-9,Thursday,"3pm, 4pm",Firehouse Subs,By Time,$6.63,$0.00,$3.50,$10.13
Mar 3-9,Friday,"9am, 10am, 11am, 12pm, 1pm, 2pm, 3pm, 4pm",Don Giovanni,By Time,$4.63,$0.00,$6.00,$10.63
Mar 3-9,Friday,"9am, 10am, 11am, 12pm, 1pm, 2pm, 3pm, 4pm",Starbucks,By Time,$4.09,$0.00,$0.00,$4.09
Mar 3-9,Friday,"9am, 10am, 11am, 12pm, 1pm, 2pm, 3pm, 4pm",Starbucks,By Time,$5.38,$0.00,$4.50,$9.88
Mar 3-9,Friday,"9am, 10am, 11am, 12pm, 1pm, 2pm, 3pm, 4pm",Chilis,By Time,$6.36,$0.00,$7.50,$13.86
Mar 3-9,Friday,"9am, 10am, 11am, 12pm, 1pm, 2pm, 3pm, 4pm",Arbys,By Time,$3.62,$0.00,$3.00,$6.62
Mar 3-9,Friday,"9am, 10am, 11am, 12pm, 1pm, 2pm, 3pm, 4pm",Applebees,By Time,$5.79,$0.00,$6.00,$11.79
Mar 3-9,Friday,"9am, 10am, 11am, 12pm, 1pm, 2pm, 3pm, 4pm",Chipotle,By Time,$5.02,$0.00,$3.00,$8.02
Mar 3-9,Friday,"9am, 10am, 11am, 12pm, 1pm, 2pm, 3pm, 4pm",Starbucks,By Time,$6.86,$0.00,$1.00,$7.86
Mar 3-9,Friday,"9am, 10am, 11am, 12pm, 1pm, 2pm, 3pm, 4pm",Popeyes,By Time,$5.02,$0.00,$0.00,$5.02
Mar 3-9,Friday,"9am, 10am, 11am, 12pm, 1pm, 2pm, 3pm, 4pm",CFA,By Time,$4.92,$0.00,$2.00,$6.92
Mar 3-9,Friday,"9am, 10am, 11am, 12pm, 1pm, 2pm, 3pm, 4pm",CFA,By Time,$6.00,$0.00,$1.00,$7.00
Mar 3-9,Friday,"9am, 10am, 11am, 12pm, 1pm, 2pm, 3pm, 4pm",First Watch,By Time,$3.74,$0.00,$0.00,$3.74
Mar 3-9,Friday,"9am, 10am, 11am, 12pm, 1pm, 2pm, 3pm, 4pm",Arbys,By Time,$3.20,$0.00,$2.00,$5.20
Mar 3-9,Friday,"9am, 10am, 11am, 12pm, 1pm, 2pm, 3pm, 4pm",Taco Bell,By Time,$6.42,$0.00,$1.00,$7.42
Mar 3-9,Friday,"9am, 10am, 11am, 12pm, 1pm, 2pm, 3pm, 4pm",Popeyes,By Time,$6.43,$0.00,$2.00,$8.43
Mar 3-9,Friday,"9am, 10am, 11am, 12pm, 1pm, 2pm, 3pm, 4pm",Sushi 99,By Time,$4.00,$0.00,$1.00,$5.00
Mar 3-9,Friday,"9am, 10am, 11am, 12pm, 1pm, 2pm, 3pm, 4pm",Chipotle,By Time,$3.99,$0.00,$3.00,$6.99
Mar 3-9,Saturday,"9am, 10am, 11am, 12pm, 1pm, 2pm, 3pm",Panera,By Time,$3.65,$0.00,$5.35,$9.00
